seq,otitle,odate,label,url
"88","23年前西進 接地氣搶商機","2019/8/11 上午0:00","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=5904d700c24d41e08a039d5a2d470ca9"
"90","277兆人民幣 行動支付強強滾 去年金額增36%","2019/3/28 上午3:16","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=b416b6b5048642b1bac998ecdbdda3e7"
"169","4月外銷訂單連6黑 跌幅縮小","2019/5/21 上午5:30","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=c4d9ca44192d4c35a18c96669e971928"
"170","4月外銷訂單連六黑 年減3.7％","2019/5/21 上午5:30","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=188d7f0abf924a9faa697d1741dc51b3"
"249","5G設備龍頭搶攻智慧電視","2019/7/16 上午0:00","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=faf201bd02e8417894ddb51dba096d96"
"305","8.2億人 陸網民人數大增 每天上網四小時","2019/3/19 上午3:16","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=e184c4482b744ae896e754e677f2fc70"
"320","9,562億人民幣 互聯網企業營收 去年躍增20.3%","2019/3/27 上午3:16","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=38d20bd0b34f4384b411896fa5857cb2"
"340","AIoT…業者新戰場","2019/1/27 上午3:16","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=536149017f68460fa5aa1ed2312e27dc"
"570","G2大象打架 英業達兩邊押寶","2019/6/15 上午0:00","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=cb048f63ce3d4dbeb3e9ab573b119ba4"
"664","IC設計法說周 聯發科打頭陣","2019/4/30 上午3:16","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=12&nsl_id=1f415c92d07a4cbb8d4e190d6670a1f3"
"665","IC設計股 漲勢再起","2019/5/31 上午0:00","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=12&nsl_id=c37926d87a0645aca7ef0fa2842ef890"
"671","IDC：陸物聯網支出 僅次美國","2019/1/9 上午5:30","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=12&nsl_id=c9f048edf5e74f90afab035caf0a289a"
"715","IoT智慧工廠 美找碴新目標","2019/7/8 上午0:00","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=80f7e78edd4e46f1a3e50267eec7e30f"
"722","iPhone 11標配 Type-C快充樂透","2019/8/27 上午5:30","0","http://ieknet.iek.org.tw/ieknews/news_detail.aspx?actiontype=ieknews&indu_idno=3&nsl_id=cf1b21cb269a4174962503fcfc33f0be"
